,Manufacturer##other##,Window Type##other##,Nominal Width##length##inches,Nominal Height##length##inches,Design Pressure##other##,Description##other##,Model##other##
CCNTPRYCAP9628,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,96,28,DP50,9628 FIXED,CCNTPRYCAP9628
CCNTPRYCAP9632,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,96,32,DP50,9632 FIXED,CCNTPRYCAP9632
CCNTPRYCAP9636,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,96,36,DP50,9636 FIXED,CCNTPRYCAP9636
CCNTPRYCAP9640,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,96,40,DP50,9640 FIXED,CCNTPRYCAP9640
CCNTPRYCAP9644,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,96,44,DP50,9644 FIXED,CCNTPRYCAP9644
CCNTPRYCAP9648,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,96,48,DP50,9648 FIXED,CCNTPRYCAP9648
CCNTPRYCAP9654,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,96,54,DP50,9654 FIXED,CCNTPRYCAP9654
CCNTPRYCAP9656,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,96,56,DP50,9656 FIXED,CCNTPRYCAP9656
CCNTPRYCAP9660,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,96,60,DP50,9660 FIXED,CCNTPRYCAP9660
CCNTPRYCAP9664,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,96,64,DP50,9664 FIXED,CCNTPRYCAP9664
CCNTPRYCAP9672,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,96,72,DP50,9672 FIXED,CCNTPRYCAP9672
CCNTPRYCAP9678,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,96,78,DP50,9678 FIXED,CCNTPRYCAP9678
CCNTPRYCAP9684,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,96,84,DP50,9684 FIXED,CCNTPRYCAP9684
