,Manufacturer##other##,Door Type##other##,Number of Panels##other##,Nominal Width##length##inches,Nominal Height##length##inches,Design Pressure##other##,Description##other##,Model##other##,Option Choice_Configuration##other##
CMOBFD25080-10P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,10,300,96,Not Rated,30096 BFLD DOOR,CMOBFD25080,33
CMOBFD25090-10P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,10,300,108,Not Rated,300108 BFLD DOOR,CMOBFD25090,33
CMOBFD250100-10P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,10,300,120,Not Rated,300120 BFLD DOOR,CMOBFD250100,33

CMOBFD30068-10P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,10,360,80,Not Rated,36080 BFLD DOOR,CMOBFD30068,33
CMOBFD30070-10P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,10,360,84,Not Rated,36084 BFLD DOOR,CMOBFD30070,33
CMOBFD30080-10P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,10,360,96,Not Rated,36096 BFLD DOOR,CMOBFD30080,33
CMOBFD30090-10P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,10,360,108,Not Rated,360108 BFLD DOOR,CMOBFD30090,33
CMOBFD300100-10P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,10,360,120,Not Rated,360120 BFLD DOOR,CMOBFD300100,33

CMOBFD35068-10P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,10,420,80,Not Rated,42080 BFLD DOOR,CMOBFD35068,33
CMOBFD35070-10P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,10,420,84,Not Rated,42084 BFLD DOOR,CMOBFD35070,33
CMOBFD35080-10P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,10,420,96,Not Rated,42096 BFLD DOOR,CMOBFD35080,33
CMOBFD35090-10P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,10,420,108,Not Rated,420108 BFLD DOOR,CMOBFD35090,33
CMOBFD350100-10P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,10,420,120,Not Rated,420120 BFLD DOOR,CMOBFD350100,33

CMOBFD27668-11P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,11,330,80,Not Rated,33080 BFLD DOOR,CMOBFD27668,36
CMOBFD27670-11P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,11,330,84,Not Rated,33084 BFLD DOOR,CMOBFD27670,36
CMOBFD27680-11P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,11,330,96,Not Rated,33096 BFLD DOOR,CMOBFD27680,36
CMOBFD27690-11P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,11,330,108,Not Rated,330108 BFLD DOOR,CMOBFD27690,36
CMOBFD276100-11P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,11,330,120,Not Rated,330120 BFLD DOOR,CMOBFD276100,36

CMOBFD33068-11P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,11,396,80,Not Rated,39680 BFLD DOOR,CMOBFD33068,36
CMOBFD33070-11P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,11,396,84,Not Rated,39684 BFLD DOOR,CMOBFD33070,36
CMOBFD33080-11P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,11,396,96,Not Rated,39696 BFLD DOOR,CMOBFD33080,36
CMOBFD33090-11P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,11,396,108,Not Rated,396108 BFLD DOOR,CMOBFD33090,36
CMOBFD330100-11P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,11,396,120,Not Rated,396120 BFLD DOOR,CMOBFD330100,36

CMOBFD38668-11P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,11,462,80,Not Rated,39680 BFLD DOOR,CMOBFD38668,36
CMOBFD38670-11P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,11,462,84,Not Rated,39684 BFLD DOOR,CMOBFD38670,36
CMOBFD38680-11P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,11,462,96,Not Rated,39696 BFLD DOOR,CMOBFD38680,36
